2016-12-01,2.4481
2016-12-02,2.3831
2016-12-05,2.3941
2016-12-06,2.3887
2016-12-07,2.3401
2016-12-08,2.4071
2016-12-09,2.4675
2016-12-12,2.4712
2016-12-13,2.4713
2016-12-14,2.5707
2016-12-15,2.5967
2016-12-16,2.5916
2016-12-19,2.5382
2016-12-20,2.5586
2016-12-21,2.5348
2016-12-22,2.5515
2016-12-23,2.5373
2016-12-26,2.5373
2016-12-27,2.5596
2016-12-28,2.5080
2016-12-29,2.4750
2016-12-30,2.4443
2017-01-02,2.4443
2017-01-03,2.4444
2017-01-04,2.4390
2017-01-05,2.3443
2017-01-06,2.4193
2017-01-09,2.3647
2017-01-10,2.3757
2017-01-11,2.3721
2017-01-12,2.3631
2017-01-13,2.3964
2017-01-16,2.3964
2017-01-17,2.3253
2017-01-18,2.4296
2017-01-19,2.4739
2017-01-20,2.4668
2017-01-23,2.3971
2017-01-24,2.4652
2017-01-25,2.5116
2017-01-26,2.5043
2017-01-27,2.4843
2017-01-30,2.4881
2017-01-31,2.4531
2017-02-01,2.4699
2017-02-02,2.4737
2017-02-03,2.4648
2017-02-06,2.4077
2017-02-07,2.3931
2017-02-08,2.3363
2017-02-09,2.3948
2017-02-10,2.4073
2017-02-13,2.4358
2017-02-14,2.4698
2017-02-15,2.4932
2017-02-16,2.4467
2017-02-17,2.4147
2017-02-20,2.4147
2017-02-21,2.4290
2017-02-22,2.4129
2017-02-23,2.3720
2017-02-24,2.3117
2017-02-27,2.3650
2017-02-28,2.3899
2017-03-01,2.4526
2017-03-02,2.4779
2017-03-03,2.4780
2017-03-06,2.4997
2017-03-07,2.5179
2017-03-08,2.5597
2017-03-09,2.6053
2017-03-10,2.5745
2017-03-13,2.6258
2017-03-14,2.6002
2017-03-15,2.4930
2017-03-16,2.5402
2017-03-17,2.5005
2017-03-20,2.4607
2017-03-21,2.4175
2017-03-22,2.4050
2017-03-23,2.4194
2017-03-24,2.4123
2017-03-27,2.3782
2017-03-28,2.4178
2017-03-29,2.3765
2017-03-30,2.4197
2017-03-31,2.3874
2017-04-03,2.3193
2017-04-04,2.3605
2017-04-05,2.3354
2017-04-06,2.3408
2017-04-07,2.3822
2017-04-10,2.3661
2017-04-11,2.2962
2017-04-12,2.2392
2017-04-13,2.2374
2017-04-14,2.2374
2017-04-17,2.2498
2017-04-18,2.1682
2017-04-19,2.2143
2017-04-20,2.2320
2017-04-21,2.2480
2017-04-24,2.2730
2017-04-25,2.3322
2017-04-26,2.3035
2017-04-27,2.2946
2017-04-28,2.2802
2017-05-01,2.3180
2017-05-02,2.2803
2017-05-03,2.3180
2017-05-04,2.3541
2017-05-05,2.3487
2017-05-08,2.3868
2017-05-09,2.3977
2017-05-10,2.4141
2017-05-11,2.3874
2017-05-12,2.3257
2017-05-15,2.3433
2017-05-16,2.3257
2017-05-17,2.2243
2017-05-18,2.2294
2017-05-19,2.2346
2017-05-22,2.2537
2017-05-23,2.2799
2017-05-24,2.2502
2017-05-25,2.2554
2017-05-26,2.2465
2017-05-29,2.2465
2017-05-30,2.2098
