file_nm,security,time,open,high,low,last,settled,change,vol,prev_settled,prev_vol,pre_int
market/Settlements/1_2_2017_ags_settlements.txt,CPC MALYSN PALM OIL SWAP,MAR17,,,,,669.00,0,,669.00,,2000
market/Settlements/1_2_2017_ags_settlements.txt,CPC MALYSN PALM OIL SWAP,APR17,,,,,655.75,0,,655.75,,2132
market/Settlements/1_2_2017_ags_settlements.txt,CPC MALYSN PALM OIL SWAP,MAY17,,,,,641.25,0,,641.25,,2312
market/Settlements/1_2_2017_ags_settlements.txt,CPO USD Malaysian Crude Palm Oil Calendar Futures,FEB17,,,,,682.25,0,,682.25,,460
market/Settlements/1_2_2017_ags_settlements.txt,CPO USD Malaysian Crude Palm Oil Calendar Futures,MAR17,,,,,666.25,0,,666.25,,60
market/Settlements/1_2_2017_ags_settlements.txt,CPO USD Malaysian Crude Palm Oil Calendar Futures,APR17,,,,,652.00,0,,652.00,,128
market/Settlements/1_2_2017_ags_settlements.txt,CPO USD Malaysian Crude Palm Oil Calendar Futures,MAY17,,,,,636.25,0,,636.25,,128
market/Settlements/1_2_2017_ags_settlements.txt,CSC Cash Settled Cheese Future,JAN17,,,,,1.7011,0,,1.6980,14,2743
market/Settlements/1_2_2017_ags_settlements.txt,CSC Cash Settled Cheese Future,FEB17,1.678,1.689,1.675,1.689,1.686,+.006,25,1.680,16,2612
market/Settlements/1_2_2017_ags_settlements.txt,CSC Cash Settled Cheese Future,MAR17,1.715,1.727,1.707,1.724,1.722,-.002,60,1.724,44,2856
market/Settlements/1_2_2017_ags_settlements.txt,CSC Cash Settled Cheese Future,APR17,1.736,1.742,1.733,1.742,1.742,+.004,32,1.738,15,2576
market/Settlements/1_2_2017_ags_settlements.txt,DA MILK FUTURES,JAN17,,,,,16.77,0,,16.75,132,4231
market/Settlements/1_2_2017_ags_settlements.txt,DA MILK FUTURES,FEB17,16.68,16.79,16.60,16.78,16.74,+.03,241,16.71,396,4156
market/Settlements/1_2_2017_ags_settlements.txt,DA MILK FUTURES,MAR17,17.06,17.19,16.97,17.15,17.15,0,220,17.15,303,4113
market/Settlements/1_2_2017_ags_settlements.txt,DA MILK FUTURES,APR17,17.29,17.35,17.20,17.34,17.34,+.04,128,17.30,159,3550
market/Settlements/1_2_2017_ags_settlements.txt,DFL DAP FOB NOLA SWAP FUTURE,FEB17,,,,,323.00,0,,323.00,15,195
market/Settlements/1_2_2017_ags_settlements.txt,DFL DAP FOB NOLA SWAP FUTURE,MAR17,,,,,329.50,+3.50,,326.00,30,180
market/Settlements/1_2_2017_ags_settlements.txt,DFL DAP FOB NOLA SWAP FUTURE,APR17,,,,,325.75,+2.50,,323.25,,
market/Settlements/1_2_2017_ags_settlements.txt,DFL DAP FOB NOLA SWAP FUTURE,MAY17,,,,,317.50,+2.00,,315.50,,
market/Settlements/1_2_2017_ags_settlements.txt,DFT DAP FOB TAMPA SWAP FUTURE,FEB17,,,,,333.50,0,,333.50,,
market/Settlements/1_2_2017_ags_settlements.txt,DFT DAP FOB TAMPA SWAP FUTURE,MAR17,,,,,335.00,0,,335.00,,15
market/Settlements/1_2_2017_ags_settlements.txt,DFT DAP FOB TAMPA SWAP FUTURE,APR17,,,,,331.00,0,,331.00,,
market/Settlements/1_2_2017_ags_settlements.txt,DFT DAP FOB TAMPA SWAP FUTURE,MAY17,,,,,327.50,0,,327.50,,
market/Settlements/1_2_2017_ags_settlements.txt,DGS Bloomberg Commodity Index Swap Future,FEB17,,,,,88.5422,+.9500,,87.5922,,
market/Settlements/1_2_2017_ags_settlements.txt,DGS Bloomberg Commodity Index Swap Future,MAR17,,,,,88.5422,+.9500,,87.5922,,
market/Settlements/1_2_2017_ags_settlements.txt,DGS Bloomberg Commodity Index Swap Future,APR17,,,,,88.5422,+.9500,,87.5922,,
market/Settlements/1_2_2017_ags_settlements.txt,DGS Bloomberg Commodity Index Swap Future,MAY17,,,,,88.5422,0,,,,
market/Settlements/1_2_2017_ags_settlements.txt,DK CME CLASS IV MILK FUTURES,JAN17,,,,,16.19,0,,16.20,4,381
market/Settlements/1_2_2017_ags_settlements.txt,DK CME CLASS IV MILK FUTURES,FEB17,,,,,16.07,0,,16.07,,374
market/Settlements/1_2_2017_ags_settlements.txt,DK CME CLASS IV MILK FUTURES,MAR17,16.10,16.10,16.10,16.10,16.08,0,1,16.08,3,373
