dt,commodity,type,name,month_remaining,volatility,volume,underlying_price,line_open_interest,future_open_interest,tnote_rate
2016-12-13,soybean,call,CZO JAN17 SOYBEANS OPTION CALL,1,0.09318027881273062,115941,1028.0,80436.0,198764.0,2.4713
2016-12-13,soybean,call,CZO MAR17 SOYBEANS OPTION CALL,3,0.14786382351956615,72454,1039.4,65693.0,277355.0,2.4713
2016-12-13,soybean,call,CZO MAY17 SOYBEANS OPTION CALL,5,0.14551674696516234,15009,1048.0,21353.0,80999.0,2.4713
2016-12-13,soybean,put,CZO JAN17 SOYBEANS OPTION PUT,1,0.11095885780500742,115941,1028.0,121954.0,198764.0,2.4713
2016-12-13,soybean,put,CZO MAR17 SOYBEANS OPTION PUT,3,0.17775322617739125,72454,1039.4,69598.0,277355.0,2.4713
2016-12-13,soybean,put,CZO MAY17 SOYBEANS OPTION PUT,5,0.18570329228160515,15009,1048.0,20401.0,80999.0,2.4713
2016-12-13,soybean,call,SDF JAN17 Short-Dated New Crop Soybean Option CALL,1,0.04299437470614211,115941,1028.0,436.0,198764.0,2.4713
2016-12-13,soybean,call,SDF MAR17 Short-Dated New Crop Soybean Option CALL,3,0.07092444244353667,72454,1039.4,733.0,277355.0,2.4713
2016-12-13,soybean,call,SDF MAY17 Short-Dated New Crop Soybean Option CALL,5,0.07265646737838023,15009,1048.0,65.0,80999.0,2.4713
2016-12-13,soybean,put,SDF JAN17 Short-Dated New Crop Soybean Option PUT,1,0.1288231084594423,115941,1028.0,382.0,198764.0,2.4713
2016-12-13,soybean,put,SDF MAR17 Short-Dated New Crop Soybean Option PUT,3,0.19680031279780233,72454,1039.4,1131.0,277355.0,2.4713
2016-12-13,soybean,put,SDF MAY17 Short-Dated New Crop Soybean Option PUT,5,0.21710567467073283,15009,1048.0,752.0,80999.0,2.4713
2017-10-02,soybean,call,CZO NOV17 SOYBEANS OPTION CALL,1,0.11386628083494457,99000,957.2,247245.0,335322.0,2.3408
2017-10-02,soybean,call,CZO JAN18 SOYBEANS OPTION CALL,3,0.11430855170663876,33094,967.6,41356.0,119982.0,2.3408
2017-10-02,soybean,call,CZO MAR18 SOYBEANS OPTION CALL,5,0.1212996953168188,14053,977.0,26349.0,78850.0,2.3408
2017-10-02,soybean,put,CZO NOV17 SOYBEANS OPTION PUT,1,0.1288952491489073,99000,957.2,238057.0,335322.0,2.3408
2017-10-02,soybean,put,CZO JAN18 SOYBEANS OPTION PUT,3,0.1424882236625375,33094,967.6,24735.0,119982.0,2.3408
2017-10-02,soybean,put,CZO MAR18 SOYBEANS OPTION PUT,5,0.15911203681957933,14053,977.0,15563.0,78850.0,2.3408
2017-10-02,soybean,call,SDF JAN18 Short-Dated New Crop Soybean Option CALL,3,0.1184975433673975,33094,967.6,229.0,119982.0,2.3408
2017-10-02,soybean,call,SDF MAR18 Short-Dated New Crop Soybean Option CALL,5,0.09708589963180456,14053,977.0,345.0,78850.0,2.3408
